+-----------+-----------+-----------+--------------------------+
| TOTAL     | BOOK 1    | BOOK 2    |          WORD            |
| ORDER     | ORDER     | ORDER     |          ORDER           |
| FREQUENCY | FREQUENCY | FREQUENCY |          SEQUENCE        |
+-----------+-----------+-----------+--------------------------+
|       966 |       966 |         0 |                     whale|
|       714 |       435 |       279 |                       man|
|       583 |       323 |       260 |                      time|
|       508 |       316 |       192 |                      long|
|       466 |       305 |       161 |                     great|
|       443 |       196 |       247 |                      hand|
|       442 |       269 |       173 |                      head|
|       423 |       421 |         2 |                        ye|
|       421 |       421 |         0 |                      ahab|
|       411 |       379 |        32 |                       sea|
|       404 |       195 |       209 |                      good|
|       398 |       308 |        90 |                   chapter|
|       397 |       397 |         0 |                    whales|
|       387 |       384 |         3 |                      ship|
|       336 |         0 |       336 |                     lorry|
|       329 |       160 |       169 |                       day|
|       317 |       154 |       163 |                      eyes|
|       314 |       225 |        89 |                       men|
|       311 |       129 |       182 |                     night|
|       295 |       294 |         1 |                   captain|
|       287 |       138 |       149 |                      life|
|       281 |        94 |       187 |                      face|
|       280 |         0 |       280 |                   defarge|
|       277 |       249 |        28 |                     white|
|       259 |       160 |        99 |                       sir|
|       257 |        64 |       193 |                    looked|
|       249 |       246 |         3 |                      boat|
|       240 |       240 |         0 |                     sperm|
|       238 |       126 |       112 |                     hands|
|       233 |       105 |       128 |                      work|
|       230 |       230 |         0 |                     stubb|
|       217 |       109 |       108 |                     place|
|       212 |       212 |         0 |                  queequeg|
|       209 |       148 |        61 |                   thought|
|       206 |        79 |       127 |                     young|
|       204 |       137 |        67 |                       air|
|       202 |       165 |        37 |                     water|
|       196 |       150 |        46 |                     cried|
|       194 |       107 |        87 |                      poor|
|       194 |         2 |       192 |                    doctor|
|       193 |        77 |       116 |                      mind|
|       192 |         1 |       191 |                    madame|
|       190 |        67 |       123 |                  business|
|       185 |        66 |       119 |                    turned|
|       184 |        97 |        87 |                     years|
|       182 |        90 |        92 |                     stood|
|       181 |        43 |       138 |                    people|
|       180 |        92 |        88 |                   project|
|       180 |        20 |       160 |                    father|
|       178 |       178 |         0 |                     boats|
|       173 |       100 |        73 |                    moment|
|       170 |       170 |         0 |                  starbuck|
|       170 |       126 |        44 |                      feet|
|       169 |       125 |        44 |                     small|
|       168 |       105 |        63 |                     heard|
|       166 |        65 |       101 |                      left|
|       165 |       152 |        13 |                      sort|
|       164 |        75 |        89 |                     light|
|       163 |       112 |        51 |                    called|
|       162 |       160 |         2 |                      deck|
|       161 |       110 |        51 |                     times|
|       160 |        40 |       120 |                      door|
|       155 |       154 |         1 |                     ships|
|       155 |        91 |        64 |                      dead|
|       155 |         0 |       155 |                   manette|
|       154 |        84 |        70 |                     heart|
|       151 |        96 |        55 |                      hold|
|       149 |        88 |        61 |                      days|
|       149 |         0 |       149 |                     pross|
|       148 |       118 |        30 |                       god|
|       147 |         0 |       147 |                    carton|
|       145 |        78 |        67 |                       lay|
|       144 |        45 |        99 |                       sat|
|       144 |       103 |        41 |                     sight|
|       144 |        55 |        89 |                      dark|
|       141 |        72 |        69 |                      word|
|       141 |       100 |        41 |                      high|
|       140 |        83 |        57 |                       set|
|       140 |        80 |        60 |                       arm|
|       139 |        77 |        62 |                     death|
|       139 |         0 |       139 |                    darnay|
|       136 |       135 |         1 |                      crew|
|       135 |       129 |         6 |                      thee|
|       135 |       135 |         0 |                       aye|
|       133 |        10 |       123 |                      dear|
|       129 |        81 |        48 |                      hard|
|       129 |        46 |        83 |                     voice|
|       129 |        43 |        86 |                      knew|
|       127 |       107 |        20 |                      body|
|       127 |        37 |        90 |                    manner|
|       126 |        85 |        41 |                      true|
|       126 |       126 |         0 |                    pequod|
|       125 |        72 |        53 |                   morning|
|       124 |        87 |        37 |                     black|
|       124 |         0 |       124 |                     lucie|
|       123 |        44 |        79 |                      room|
|       123 |         7 |       116 |                  monsieur|
|       119 |        84 |        35 |                    matter|
|       119 |        96 |        23 |                   strange|
|       119 |        83 |        36 |                       sun|
+-----------+-----------+-----------+--------------------------+
